"","MEAN","MIN","MAX","SD"
"trstgov",4.18,0,10,2.19
"stfgov",3.9,0,10,2.52
"stfeco",3.8,0,10,2.47
"voted.pgc",0.5,0,1,0.5
"GDPpc.log",10.04,8.81,10.81,0.47
"agea",48.1,15,123,18.5
"agea.sq",2655.78,225,15129,1854.14
"hincfel.r",2.82,1,4,0.91
"meded.dummy",0.06,0,1,0.25
"polintr.r",2.36,1,4,0.89
"ppltrst",4.77,0,10,2.53
"happy",6.95,0,10,2.1
"dscrgrp.r",0.07,0,1,0.26
"gincdif",2.12,1,5,1.03
"dfincac",2.62,1,5,1.08
"gvhlthc",8.67,0,10,1.71
"dcndleq",4.73,0,10,2.94
"sick",2.32,1,5,0.94
"PocketFin",20.24,2.7,45,11.25
"Postcom.state",0.45,0,1,0.5
"Nordic.state",0.15,0,1,0.35
"stfhlth",4.92,0,10,2.59
"PrivFin",0.24,0.05,0.45,0.11
"PrivFinWho",26.48,13.28,43.26,9.11
"PrivInsFin",3.78,0,14.3,4.25
"close.pgc",0.49,0,1,0.5
"lrscale",5.13,0,10,2.21
"lrscale.sq",31.18,0,100,23.64
"lknhlcn",2.04,1,4,0.87
"hlthhmp",2.67,1,3,0.59
"hamper.dummy",0.26,0,1,0.44
"hinctnta",5.4,1,10,2.78
"pro.state",7.78,0,10,1.6
"leftist",0.32,0,1,0.47
"Gini",31.76,24.7,43.67,4.81
"THEcap",2469.15,198.15,5230,1460.41
"CofCoruption",0.94,-0.98,2.34,0.97
"P90P10",7.25,5.09,10.71,1.79
